year	species	date	plot	sex	weight	notes												
2013	DM	16.07	2	F	NA	NA												
2013	DM	16.07	7	M	33	NA												
2013	DM	16.07	3	M	NA	NA												
2013	DM	16.07	1	M	NA	NA												
2013	DM	18.07	3	M	40	NA												
2013	DM	18.07	7	M	48	NA												
2013	DM	18.07	4	F	29	NA												
2013	DM	18.07	4	F	46	NA												
2013	DM	18.07	7	M	36	NA												
2013	DM	18.07	7	F	35	NA												
2013	DM	18.07	8	F	22	NA												
2013	DM	18.07	7	F	42	NA												
2013	DM	18.07	4	F	41	NA												
2013	DM	18.07	6	F	37	NA												
2013	DO	19.09	8	F	52	NA												
2013	DO	17.10	3	F	33	NA												
2013	DO	17.10	3	F	50	NA												
2013	DO	17.10	17	F	48	NA												
2013	DO	17.10	17	F	31	NA												
2013	DO	18.10	8	F	41	NA												
2013	DO	12.11	1	F	44	NA												
2013	DO	12.11	1	M	48	NA												
2013	DO	14.11	8	F	39	NA												
2013	DO	10.12	9	F	40	NA												
2013	DO	10.12	1	M	45	NA												
2013	DO	11.12	8	F	41	NA												
2013	DS	12.11	9	F	117	NA												
2013	DS	12.11	1	F	121	NA												
2013	DS	12.11	20	M	115	NA												
2013	DS	12.11	9	F	120	NA												
2013	DS	13.11	17	F	118	NA												
2013	DS	13.11	11	F	126	NA												
2013	DS	13.11	17	M	132	not_cali												
2013	DS	13.11	14	F	113	not_cali												
2013	DS	13.11	11	F	122	NA												
2013	DS	13.11	4	F	107	NA												
2013	DS	13.11	4	F	115	NA												
NA	DM	NA	1	M	40	NA												
NA	DM	NA	1	F	36	NA												
NA	DS	NA	1	F	135	NA												
NA	DM	NA	1	F	39	NA												
NA	DM	NA	1	M	43	NA												
NA	DS	NA	1	F	144	NA												
NA	DM	NA	1	F	51	NA												
NA	DM	NA	1	F	44	NA												
NA	DS	NA	1	F	146	NA												
NA	NASP	NA	2	NA	NA	NA												
NA	DM	NA	2	M	44	NA												
NA	DM	NA	2	M	38	NA												
NA	OL	NA	2	NA	NA	NA												
NA	PE	NA	2	M	22	NA												
NA	DM	NA	2	M	38	NA												
NA	DM	NA	2	M	48	NA												
NA	DM	NA	2	M	43	NA												
NA	DM	NA	2	F	35	NA												
NA	DM	NA	2	M	43	NA												
NA	DM	NA	2	F	37	NA												
NA	PF	NA	2	F	7	NA												
NA	DM	NA	2	M	45	NA												
NA	OT	NA	2	NA	NA	NA												
NA	DS	NA	2	M	157	hac												
NA	OX	NA	2	NA	NA	NA												
NA	NASP	NA	2	M	218	hac												
NA	PF	NA	2	F	7	NA												
NA	DM	NA	2	M	52	NA												
1.8	PF	NA	3	M	7	NA												
2.18	OT	NA	3	M	24	NA												
2.18	OT	NA	3	F	23	NA												
3.11	NASP	NA	3	M	232	NA												
3.11	OT	NA	3	F	22	NA												
3.11	OT	NA	3	M	26	NA												
3.11	PF	NA	3	M	8	NA												
4.8	NASP	NA	3	F	NA	NA												
5.6	NA	NA	3	NA	NA	NA												
5.18	NASP	NA	3	F	182	NA												
6.9	OT	NA	3	F	29	NA												
7.8	NASP	NA	3	F	115	NA												
7.8	NASP	NA	3	M	190	NA												
																		
																		
																		
																		
																		
																		
																		
																		
																		
