ind,date,plot,specie,sex,weight,obs
1,1/8/78,4,DM,F,37,
2,1/8/78,4,DS,F,128,
3,1/8/78,4,DM,F,42,
4,1/8/78,4,DM,M,37,
5,1/8/78,4,DM,M,,
6,1/8/78,4,DM,F,48,
7,1/8/78,4,DM,M,45,
8,1/8/78,4,DM,F,42,
9,1/8/78,4,DO,M,52,
10,1/8/78,4,OL,M,35,
11,7/16/13,2,DM,F,,
12,7/16/13,7,DM,M,33,
13,7/16/13,3,DM,M,,
14,7/16/13,1,DM,M,,
15,7/18/13,3,DM,M,40,
16,7/18/13,7,DM,M,48,
17,7/18/13,4,DM,F,29,
18,7/18/13,4,DM,F,46,
19,7/18/13,7,DM,M,36,
20,7/18/13,7,DM,F,35,
21,7/18/13,8,DM,F,22,
22,7/18/13,7,DM,F,42,
23,7/18/13,4,DM,F,41,
24,7/18/13,6,DM,F,37,
25,8/19/13,8,DO,F,52,
26,10/17/13,3,DO,F,33,
27,10/17/13,3,DO,F,50,
28,10/17/13,17,DO,F,48,
29,10/17/13,17,DO,F,31,
30,10/18/13,8,DO,F,41,
31,11/12/13,1,DO,F,44,
32,11/12/13,1,DO,M,48,
33,11/12/13,9,DS,F,117,
34,11/12/13,1,DS,F,121,
35,11/12/13,20,DS,M,115,
36,11/12/13,9,DS,F,120,
37,11/13/13,17,DS,F,118,
38,11/13/13,11,DS,F,126,
39,11/13/13,17,DS,M,132,not_calibrated
40,11/13/13,14,DS,F,113,not_calibrated
41,11/13/13,11,DS,F,122,
42,11/13/13,4,DS,F,107,
43,11/13/13,4,DS,F,115,
44,11/14/13,8,DO,F,39,
45,12/10/13,9,DO,F,40,
46,12/10/13,1,DO,M,45,
47,12/11/13,8,DO,F,41,
48,1/8/14,2,NAS,,,
49,1/8/14,2,DM,M,44,
50,1/8/14,2,DM,M,38,
51,1/8/14,2,OL,,,
52,1/8/14,2,PE,M,22,
53,1/8/14,2,DM,M,38,
54,1/8/14,2,DM,M,48,
55,1/8/14,2,DM,M,43,
56,1/8/14,2,DM,F,35,
57,1/8/14,2,DM,M,43,
58,1/8/14,2,DM,F,37,
59,1/8/14,2,PF,F,7,
60,1/8/14,2,DM,M,45,
61,1/8/14,2,OT,,,
62,1/8/14,2,DS,M,157,not_calibrated
63,1/8/14,2,OX,,,
64,1/8,3,PF,M,7,
65,1/9/14,1,DM,M,40,
66,1/9/14,1,DM,F,36,
67,1/9/14,1,DS,F,135,
68,1/20/14,1,DM,F,39,
69,1/20/14,1,DM,M,43,
70,1/20/14,1,DS,F,144,
71,2/18/14,2,NAS,M,218,not_calibrated
72,2/18/14,2,PF,F,7,
73,2/18/14,2,DM,M,52,
74,2/18,3,OT,M,24,
75,2/18,3,OT,F,23,
76,3/11,3,NAS,M,232,
77,3/11,3,OT,F,22,
78,3/11,3,OT,M,26,
79,3/11,3,PF,M,8,
80,3/13/14,1,DM,F,51,
81,3/13/14,1,DM,F,44,
82,3/13/14,1,DS,F,146,
83,4/8,3,NAS,F,,
84,5/6,3,,,,
85,5/18,3,NAS,F,182,
86,6/9,3,OT,F,29,
87,7/8,3,NAS,F,115,
88,7/8,3,NAS,M,190,
