Date Collected;Year;Month;Day;Plot;Species;Sex;Weight(g)
7/16/13;2013;July;16;2;DM;F;
7/16/13;2013;July;16;7;DM;M;33
7/16/13;2013;July;16;3;DM;M;
7/16/13;2013;July;16;1;DM;M;
7/18/13;2013;July;18;3;DM;M;40
7/18/13;2013;July;18;7;DM;M;48
7/18/13;2013;July;18;4;DM;F;29
7/18/13;2013;July;18;4;DM;F;46
7/18/13;2013;July;18;7;DM;M;36
7/18/13;2013;July;18;7;DM;F;35
7/18/13;2013;July;18;8;DM;F;22
7/18/13;2013;July;18;7;DM;F;42
7/18/13;2013;July;18;4;DM;F;41
7/18/13;2013;July;18;6;DM;F;37
8/19/13;2013;August;19;8;DO;F;52
10/17/13;2013;October;17;3;DO;F;33
10/17/13;2013;October;17;3;DO;F;50
10/17/13;2013;October;17;17;DO;F;48
10/17/13;2013;October;17;17;DO;F;31
10/18/13;2013;October;18;8;DO;F;41
11/12/13;2013;November;12;1;DO;F;44
11/12/13;2013;November;12;1;DO;M;48
11/14/13;2013;November;14;8;DO;F;39
12/10/13;2013;December;10;9;DO;F;40
12/10/13;2013;December;10;1;DO;M;45
12/11/13;2013;December;12;8;DO;F;41
11/12/13;2013;November;11;9;DS;F;117
11/12/13;2013;November;11;1;DS;F;121
11/12/13;2013;November;11;20;DS;M;115
11/12/13;2013;November;11;9;DS;F;120
11/13/13;2013;November;11;17;DS;F;118
11/13/13;2013;November;11;11;DS;F;126
11/13/13;2013;November;11;17;DS;M;
11/13/13;2013;November;11;14;DS;F;
11/13/13;2013;November;11;11;DS;F;122
11/13/13;2013;November;11;4;DS;F;107
11/13/13;2013;November;11;4;DS;F;115
1/9/14;2014;January;1;1;DM;M;40
1/9/14;2014;January;1;1;DM;F;36
1/9/14;2014;January;1;1;DS;F;135
1/20/14;2014;January;1;1;DM;F;39
1/20/14;2014;January;1;1;DM;M;43
1/20/14;2014;January;1;1;DS;F;144
3/13/14;2014;March;3;1;DM;F;51
3/13/14;2014;March;3;1;DM;F;44
3/13/14;2014;March;3;1;DS;F;146
1/8/14;2014;January;1;2;NA;;
1/8/14;2014;January;1;2;DM;M;44
1/8/14;2014;January;1;2;DM;M;38
1/8/14;2014;January;1;2;OL;;
1/8/14;2014;January;1;2;PE;M;22
1/8/14;2014;January;1;2;DM;M;38
1/8/14;2014;January;1;2;DM;M;48
1/8/14;2014;January;1;2;DM;M;43
1/8/14;2014;January;1;2;DM;F;35
1/8/14;2014;January;1;2;DM;M;43
1/8/14;2014;January;1;2;DM;F;37
1/8/14;2014;January;1;2;PF;F;7
1/8/14;2014;January;1;2;DM;M;45
1/8/14;2014;January;1;2;OT;;
1/8/14;2014;January;1;2;DS;M;157
1/8/14;2014;January;1;2;OX;;
2/18/14;2014;February;2;2;NA;M;218
2/18/14;2014;February;2;2;PF;F;7
2/18/14;2014;February;2;2;DM;M;52
1/8/15;2015;January;1;3;PF;M;7
2/18/15;2015;February;2;3;OT;M;24
2/18/15;2015;February;2;3;OT;F;23
3/11/15;2015;March;3;3;NA;M;232
3/11/15;2015;March;3;3;OT;F;22
3/11/15;2015;March;3;3;OT;M;26
3/11/15;2015;March;3;3;PF;M;8
4/8/15;2015;April;4;3;NA;F;
5/18/15;2015;May;5;3;NA;F;182
6/9/15;2015;June;6;3;OT;F;29
7/8/15;2015;July;7;3;NA;F;115
7/8/15;2015;July;7;3;NA;M;190
1/8/78;1978;January;1;4;DM;F;37
1/8/78;1978;January;1;4;DS;F;128
1/8/78;1978;January;1;4;DM;F;42
1/8/78;1978;January;1;4;DM;M;37
1/8/78;1978;January;1;4;DM;M;
1/8/78;1978;January;1;4;DM;F;48
1/8/78;1978;January;1;4;DM;M;45
1/8/78;1978;January;1;4;DM;F;42
1/8/78;1978;January;1;4;DO;M;52
1/8/78;1978;January;1;4;OL;M;35
